Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
"What does a positive skew in a data set indicate?","Mean is less than the median","Mean is greater than the median","Symmetrical distribution","Both mean and median are equal","B"
"What is the skewness of a perfectly symmetrical distribution?","1","0.5","0","-1","C"
"In a negatively skewed distribution, which is true?","Mode > Median > Mean","Mean > Median > Mode","Mean = Median = Mode","Median > Mean > Mode","A"
"What does a skewness value close to 0 indicate?","Highly skewed distribution","Moderately skewed distribution","Symmetrical distribution","Undefined skewness","C"
"For a data set with a positive skew, which measure of central tendency is typically the largest?","Mean","Median","Mode","Standard deviation","A"
"Which moment of a distribution does skewness technically measure?","First moment","Second moment","Third moment","Fourth moment","C"
"If a distribution has a long left tail, it is said to be:","Positively Skewed","Negatively Skewed","Uniformly Skewed","Bimodal Skewed","B"
"In a normal distribution, the skewness should ideally be:","1","0","-1","It varies","B"
"What impact does outlier(s) on the right side of the distribution have on skewness?","Decrease skewness","Increase skewness","No impact","Makes distribution symmetrical","B"
"Which is not a method for measuring skewness?","Pearson's first coefficient of skewness","Karl Pearson's coefficient","Bowley's measure","Chebyshev’s theorem","D"
"What is the primary purpose of the Chi-Square test?","To test the mean of a single sample","To compare variances between samples","To test independence between two variables","To estimate the population variance from a sample","C"
"In a Chi-Square test for independence, what does a significant result imply?","Variables are correlated","Variables are independent","Cannot determine anything about the variables","None of the above","A"
"What type of data is required for a Chi-Square test?","Interval data","Ratio data","Nominal or ordinal data","Continuous data","C"
"What does a Chi-Square test for goodness of fit determine?","If observed frequencies match expected frequencies for a single categorical variable","The fit of a regression model","The correlation between two variables","The variance of a dataset","A"
"In a Chi-Square test, what does a higher value of Chi-Square indicate?","A better fit between observed and expected values","A worse fit between observed and expected values","No relationship between observed and expected values","None of the above","B"
"What assumption must be met for the expected frequencies in a Chi-Square test?","All expected frequencies are at least 5","No more than 20% of expected frequencies are less than 5","At least 80% of expected frequencies are more than 1","All expected frequencies are at least 1","B"
"What does the degrees of freedom (df) in a Chi-Square test indicate?","Number of categories minus one","Number of observations minus one","Number of observations minus number of categories","(Rows-1)*(Columns-1) for a contingency table","D"
"In a Chi-Square test for independence, which of the following can affect the power of the test?","Sample size","Effect size","Both sample size and effect size","None of the above","C"
"For a 2x2 contingency table, what test is often used in place of the Chi-Square test for better accuracy with small sample sizes?","T-test","ANOVA","Fisher's Exact Test","Mann-Whitney U Test","C"
"What is the null hypothesis in a Chi-Square test of independence?","There is a significant difference between the observed and expected frequencies","The variables are not independent","There is no significant difference between the observed and expected frequencies","The variables are independent","D"
"Question","Option A","Option B","Option C","Option D","Correct Answer"
"What does a Z-test typically test for?","Independence of two variables","Difference between two variances","Difference between two population means","Correlation between two variables","C"
"When is it appropriate to use a Z-test instead of a T-test?","When the sample size is small","When the population variance is unknown","When the sample size is large and the population variance is known","When the data is not normally distributed","C"
"In a Z-test, what does a Z-score represent?","Number of standard deviations a data point is from the population mean","Variance of the sample","Skewness of the distribution","Difference between sample mean and population mean","A"
"What is the null hypothesis in a two-sample Z-test for the difference in means?","The population variances are equal","The sample means are equal","The population means are different","The population means are equal","D"
"For a Z-test, which of the following assumptions must be met?","Data is collected randomly, samples are independent, and data is normally distributed","Data is collected randomly and the Central Limit Theorem applies","Samples are independent and population variance is known","All of the above","D"
"What is a Type I error in the context of a Z-test?","Rejecting a true null hypothesis","Failing to reject a false null hypothesis","Accepting a true alternative hypothesis","None of the above","A"
"How does sample size affect the standard error in a Z-test?","As sample size increases, standard error increases","As sample size increases, standard error decreases","Sample size has no effect on standard error","As sample size increases, standard error remains constant","B"
"What does a negative Z-score indicate in a one-sample Z-test?","Sample mean is greater than the population mean","Sample mean is less than the population mean","Population variance is known","Sample size is too small","B"
"In a Z-test, if the p-value is less than the alpha level, what is the decision?","Fail to reject the null hypothesis","Reject the null hypothesis","Increase the sample size","None of the above","B"
